"datetime_UTC","datetime_MST","value","RANGE","NEGATIVE","SPIKE","FLAT","REMOVAL","DO_SPIKE","BUBBLE","PAR_NIGHT","reason","ANY_FLAG","variable"
2025-08-07 01:10:00,2025-08-06 19:10:00,15.97,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Spike > threshold; DO sudden change; DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-12 01:20:00,2025-08-11 19:20:00,12.581,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Spike > threshold; DO sudden change; DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-12 01:30:00,2025-08-11 19:30:00,11.365,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-12 01:40:00,2025-08-11 19:40:00,13.208,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-12 01:50:00,2025-08-11 19:50:00,13.929,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-15 22:40:00,2025-08-15 16:40:00,12.208,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Spike > threshold; DO sudden change; DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-15 22:50:00,2025-08-15 16:50:00,12.196,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-15 23:00:00,2025-08-15 17:00:00,12.905,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-15 23:10:00,2025-08-15 17:10:00,13.611,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-20 08:00:00,2025-08-20 02:00:00,1.351,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Spike > threshold; DO sudden change; DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-20 08:10:00,2025-08-20 02:10:00,1.705,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-20 08:20:00,2025-08-20 02:20:00,2.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-20 08:30:00,2025-08-20 02:30:00,2.375,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-20 08:40:00,2025-08-20 02:40:00,2.723,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-20 08:50:00,2025-08-20 02:50:00,3.008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-20 09:00:00,2025-08-20 03:00:00,3.354,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-20 09:10:00,2025-08-20 03:10:00,3.642,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-20 09:20:00,2025-08-20 03:20:00,3.917,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-20 09:30:00,2025-08-20 03:30:00,4.211,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
2025-08-20 09:40:00,2025-08-20 03:40:00,4.432,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"DO bubble artifact",TRUE,"do_mgl_1m"
