"sample_number","site_id","lake","site_type","sample_date","sample_type","method","result","sample_status","status","total_mc","toxin_richness","rr","yr","lr","la","dm_lr","ly","nod","lf","wr","atx","hatx","cyl","notes"
406,"BKS_UB_SH_09","upper brooks","shore",2025-09-17,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
407,"BKS_UB_BU_SS","upper brooks","buoy_surface",2025-09-17,"regular","GRAB",TRUE,"detected","Shipped",1.523219882,1,0,0,0,0,1.523219882,0,0,0,0,0,0,0,NA
408,"BKS_UB_BU_DD","upper brooks","buoy_depth",2025-09-17,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
409,"BKS_RN_SH_10","rainbow","shore",2025-09-17,"regular","GRAB",TRUE,"detected","Shipped",319.866276964,3,0,0,313.5373033,2.10754174,0,4.221431924,0,0,0,0,0,0,NA
410,"BKS_RN_BU_SS","rainbow","buoy_surface",2025-09-17,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
411,"BKS_RN_BU_DD","rainbow","buoy_depth",2025-09-17,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
412,"BKS_LJ_BU_SS","lower jade","buoy_surface",2025-09-17,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
413,"BKS_LJ_BU_DD","lower jade","buoy_depth",2025-09-17,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
414,"BKS_BL_SH_07","brooks","shore",2025-09-17,"duplicate","GRAB",TRUE,"detected","Shipped",12.155942173,2,0,0,2.951468042,0,9.204474131,0,0,0,0,0,0,0,NA
415,"BKS_UB_NCOVE","upper brooks","shore",2025-09-17,"Regular","GRAB",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,"BYS_BR_SH_01","boysen","shore",2025-09-16,"regular","GRAB",TRUE,"detected","Shipped",7207.47860363,4,0,0,2487.70729,4609.90731,96.78961735,0,0,0,13.07438628,0,0,0,NA
417,"BYS_PC_SH_02","boysen","shore",2025-09-16,"regular","GRAB",TRUE,"detected","Shipped",5.041982105,1,0,0,0,0,5.041982105,0,0,0,0,0,0,0,NA
418,"BYS_FR_SH_03","boysen","shore",2025-09-16,"regular","GRAB",TRUE,"detected","Shipped",10.32339678,2,0,0,0,5.719054712,4.604342068,0,0,0,0,0,0,0,NA
419,"BYS_CR_SH_04","boysen","shore",2025-09-16,"regular","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
420,"BYS_CR_SH_04","boysen","shore",2025-09-16,"duplicate","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
421,"GRAB_BLANK","blank","blank",2025-09-16,"blank","GRAB",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
422,"BKS_BL_SH_01","brooks","shore",2025-09-29,"regular","SPATT",TRUE,"detected","Shipped",4.313250901,1,0,0,4.313250901,0,0,0,0,0,0,0,0,0,NA
423,"BKS_BL_SH_02","brooks","shore",2025-09-29,"regular","SPATT",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
424,"BKS_BL_SH_03","brooks","shore",2025-09-29,"regular","SPATT",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
425,"BKS_BL_SH_04","brooks","shore",2025-09-30,"regular","SPATT",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
426,"BKS_BL_SH_05","brooks","shore",2025-09-30,"regular","SPATT",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
427,"BKS_BL_SH_06","brooks","shore",2025-09-30,"Regular","SPATT",FALSE,"not_analyzed","Lost",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,"BKS_BL_SH_07","brooks","shore",2025-09-30,"regular","SPATT",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
429,"BKS_BL_BON","tributary","tributary",2025-09-30,"Regular","SPATT",FALSE,"not_analyzed","Lost",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,"BKS_BL_CREEK","tributary","tributary",2025-09-30,"Regular","SPATT",FALSE,"not_analyzed","Collected",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,"BKS_BL_BU_SS","brooks","buoy_surface",2025-09-30,"regular","SPATT",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
432,"BKS_BL_BU_DD","brooks","buoy_depth",2025-09-30,"regular","SPATT",TRUE,"detected","Shipped",0,1,0,0,0,0,0,0,0,0,0,0,7.674894635,0,NA
433,"BKS_UB_SH_08","upper brooks","shore",2025-09-30,"regular","SPATT",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
434,"BKS_UB_SH_09","upper brooks","shore",2025-09-30,"regular","SPATT",FALSE,"analyzed_no_detection","Shipped",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
435,"BKS_UB_BU_SS","upper brooks","buoy_surface",2025-09-30,"regular","SPATT",TRUE,"detected","Shipped",20.0839228,1,0,0,20.0839228,0,0,0,0,0,0,0,0,0,NA
436,"BKS_UB_BU_DD","upper brooks","buoy_depth",2025-09-30,"regular","SPATT",TRUE,"detected","Shipped",25.15681738,1,0,0,25.15681738,0,0,0,0,0,0,0,0,0,NA
