sample_number,site_id,date,lake,site_type,depth_category,method,toxin_class,detected
206,BKS_UB_SH_09,2025-08-05,upper brooks,shore,NA,spatt,anatoxin,FALSE
206,BKS_UB_SH_09,2025-08-05,upper brooks,shore,NA,spatt,cylindrospermopsin,FALSE
206,BKS_UB_SH_09,2025-08-05,upper brooks,shore,NA,spatt,microcystin,TRUE
206,BKS_UB_SH_09,2025-08-05,upper brooks,shore,NA,spatt,nodularin,FALSE
207,BKS_UB_BU_SS,2025-08-05,upper brooks,buoy,surface,spatt,anatoxin,FALSE
207,BKS_UB_BU_SS,2025-08-05,upper brooks,buoy,surface,spatt,cylindrospermopsin,FALSE
207,BKS_UB_BU_SS,2025-08-05,upper brooks,buoy,surface,spatt,microcystin,TRUE
207,BKS_UB_BU_SS,2025-08-05,upper brooks,buoy,surface,spatt,nodularin,FALSE
208,BKS_UB_BU_DD,2025-08-05,upper brooks,buoy,bottom,spatt,anatoxin,FALSE
208,BKS_UB_BU_DD,2025-08-05,upper brooks,buoy,bottom,spatt,cylindrospermopsin,FALSE
208,BKS_UB_BU_DD,2025-08-05,upper brooks,buoy,bottom,spatt,microcystin,TRUE
208,BKS_UB_BU_DD,2025-08-05,upper brooks,buoy,bottom,spatt,nodularin,FALSE
209,BKS_RN_SH_10,2025-08-05,rainbow,shore,NA,spatt,anatoxin,FALSE
209,BKS_RN_SH_10,2025-08-05,rainbow,shore,NA,spatt,cylindrospermopsin,FALSE
209,BKS_RN_SH_10,2025-08-05,rainbow,shore,NA,spatt,microcystin,TRUE
209,BKS_RN_SH_10,2025-08-05,rainbow,shore,NA,spatt,nodularin,FALSE
210,BKS_RN_BU_SS,2025-08-05,rainbow,buoy,surface,spatt,anatoxin,FALSE
210,BKS_RN_BU_SS,2025-08-05,rainbow,buoy,surface,spatt,cylindrospermopsin,FALSE
210,BKS_RN_BU_SS,2025-08-05,rainbow,buoy,surface,spatt,microcystin,TRUE
210,BKS_RN_BU_SS,2025-08-05,rainbow,buoy,surface,spatt,nodularin,FALSE
211,BKS_RN_BU_DD,2025-08-05,rainbow,buoy,bottom,spatt,anatoxin,FALSE
211,BKS_RN_BU_DD,2025-08-05,rainbow,buoy,bottom,spatt,cylindrospermopsin,FALSE
211,BKS_RN_BU_DD,2025-08-05,rainbow,buoy,bottom,spatt,microcystin,TRUE
211,BKS_RN_BU_DD,2025-08-05,rainbow,buoy,bottom,spatt,nodularin,FALSE
212,BKS_LJ_BU_SS,2025-08-05,lower jade,buoy,surface,spatt,anatoxin,FALSE
212,BKS_LJ_BU_SS,2025-08-05,lower jade,buoy,surface,spatt,cylindrospermopsin,FALSE
212,BKS_LJ_BU_SS,2025-08-05,lower jade,buoy,surface,spatt,microcystin,FALSE
212,BKS_LJ_BU_SS,2025-08-05,lower jade,buoy,surface,spatt,nodularin,FALSE
213,BKS_LJ_BU_DD,2025-08-05,lower jade,buoy,bottom,spatt,anatoxin,FALSE
213,BKS_LJ_BU_DD,2025-08-05,lower jade,buoy,bottom,spatt,cylindrospermopsin,FALSE
213,BKS_LJ_BU_DD,2025-08-05,lower jade,buoy,bottom,spatt,microcystin,FALSE
213,BKS_LJ_BU_DD,2025-08-05,lower jade,buoy,bottom,spatt,nodularin,FALSE
215,BYS_BR_SH_01,2025-08-04,boysen,shore,NA,spatt,anatoxin,TRUE
215,BYS_BR_SH_01,2025-08-04,boysen,shore,NA,spatt,cylindrospermopsin,FALSE
215,BYS_BR_SH_01,2025-08-04,boysen,shore,NA,spatt,microcystin,TRUE
215,BYS_BR_SH_01,2025-08-04,boysen,shore,NA,spatt,nodularin,TRUE
216,BYS_PC_SH_02,2025-08-04,boysen,shore,NA,spatt,anatoxin,TRUE
216,BYS_PC_SH_02,2025-08-04,boysen,shore,NA,spatt,cylindrospermopsin,FALSE
216,BYS_PC_SH_02,2025-08-04,boysen,shore,NA,spatt,microcystin,TRUE
216,BYS_PC_SH_02,2025-08-04,boysen,shore,NA,spatt,nodularin,TRUE
218,BYS_CR_SH_04,2025-08-04,boysen,shore,NA,spatt,anatoxin,FALSE
218,BYS_CR_SH_04,2025-08-04,boysen,shore,NA,spatt,cylindrospermopsin,FALSE
218,BYS_CR_SH_04,2025-08-04,boysen,shore,NA,spatt,microcystin,TRUE
218,BYS_CR_SH_04,2025-08-04,boysen,shore,NA,spatt,nodularin,TRUE
253,BKS_BL_SH_01,2025-08-18,brooks,shore,NA,spatt,anatoxin,FALSE
253,BKS_BL_SH_01,2025-08-18,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
253,BKS_BL_SH_01,2025-08-18,brooks,shore,NA,spatt,microcystin,TRUE
253,BKS_BL_SH_01,2025-08-18,brooks,shore,NA,spatt,nodularin,FALSE
254,BKS_BL_SH_02,2025-08-18,brooks,shore,NA,spatt,anatoxin,FALSE
254,BKS_BL_SH_02,2025-08-18,brooks,shore,NA,spatt,cylindrospermopsin,FALSE
254,BKS_BL_SH_02,2025-08-18,brooks,shore,NA,spatt,microcystin,FALSE
254,BKS_BL_SH_02,2025-08-18,brooks,shore,NA,spatt,nodularin,FALSE
255,BKS_BL_SH_03,2025-08-18,brooks,shore,NA,spatt,anatoxin,FALSE
