MiniDOT Logger Concatenated Data File
Sensor:             7450-987229
Concatenation Date: 2025Oct27 13:40:12 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1750894380,           2025-06-25 23:33:00,           2025-06-25 17:33:00,      3.490000,      4.597000,          0.071000,                     0.550208,      0.977000
                1750894980,           2025-06-25 23:43:00,           2025-06-25 17:43:00,      3.490000,      4.597000,          0.071000,                     0.550208,      0.977000
                1750895580,           2025-06-25 23:53:00,           2025-06-25 17:53:00,      3.490000,      4.597000,          0.075000,                     0.581205,      0.977000
                1750896180,           2025-06-26 00:03:00,           2025-06-25 18:03:00,      3.490000,      4.587000,          0.066000,                     0.511328,      0.977000
                1750896780,           2025-06-26 00:13:00,           2025-06-25 18:13:00,      3.490000,      4.567000,          0.065000,                     0.503318,      0.977000
                1750897380,           2025-06-26 00:23:00,           2025-06-25 18:23:00,      3.490000,      4.607000,          0.067000,                     0.519345,      0.977000
                1750897980,           2025-06-26 00:33:00,           2025-06-25 18:33:00,      3.490000,      4.577000,          0.073000,                     0.565412,      0.977000
                1750898580,           2025-06-26 00:43:00,           2025-06-25 18:43:00,      3.490000,      4.587000,          0.080000,                     0.619791,      0.977000
                1750899180,           2025-06-26 00:53:00,           2025-06-25 18:53:00,      3.490000,      4.577000,          0.072000,                     0.557667,      0.977000
                1750899780,           2025-06-26 01:03:00,           2025-06-25 19:03:00,      3.490000,      4.587000,          0.080000,                     0.619791,      0.977000
                1750900380,           2025-06-26 01:13:00,           2025-06-25 19:13:00,      3.490000,      4.577000,          0.083000,                     0.642866,      0.977000
                1750900980,           2025-06-26 01:23:00,           2025-06-25 19:23:00,      3.490000,      4.597000,          0.079000,                     0.612203,      0.977000
                1750901580,           2025-06-26 01:33:00,           2025-06-25 19:33:00,      3.490000,      4.567000,          0.070000,                     0.542035,      0.977000
                1750902180,           2025-06-26 01:43:00,           2025-06-25 19:43:00,      3.490000,      4.577000,          0.065000,                     0.503449,      0.977000
                1750902780,           2025-06-26 01:53:00,           2025-06-25 19:53:00,      3.490000,      4.567000,          0.072000,                     0.557522,      0.977000
                1750903380,           2025-06-26 02:03:00,           2025-06-25 20:03:00,      3.490000,      4.567000,          0.086000,                     0.665928,      0.977000
                1750903980,           2025-06-26 02:13:00,           2025-06-25 20:13:00,      3.490000,      4.577000,          0.081000,                     0.627375,      0.977000
                1750904580,           2025-06-26 02:23:00,           2025-06-25 20:23:00,      3.480000,      4.567000,          0.068000,                     0.526548,      0.977000
                1750905180,           2025-06-26 02:33:00,           2025-06-25 20:33:00,      3.480000,      4.577000,          0.071000,                     0.549921,      0.977000
                1750905780,           2025-06-26 02:43:00,           2025-06-25 20:43:00,      3.480000,      4.587000,          0.062000,                     0.480338,      0.977000
                1750906380,           2025-06-26 02:53:00,           2025-06-25 20:53:00,      3.480000,      4.577000,          0.061000,                     0.472468,      0.977000
                1750906980,           2025-06-26 03:03:00,           2025-06-25 21:03:00,      3.480000,      4.577000,          0.056000,                     0.433741,      0.977000
                1750907580,           2025-06-26 03:13:00,           2025-06-25 21:13:00,      3.480000,      4.577000,          0.058000,                     0.449231,      0.977000
                1750908180,           2025-06-26 03:23:00,           2025-06-25 21:23:00,      3.480000,      4.597000,          0.065000,                     0.503711,      0.977000
                1750908780,           2025-06-26 03:33:00,           2025-06-25 21:33:00,      3.480000,      4.567000,          0.059000,                     0.456858,      0.977000
                1750909380,           2025-06-26 03:43:00,           2025-06-25 21:43:00,      3.480000,      4.597000,          0.063000,                     0.488212,      0.977000
                1750909980,           2025-06-26 03:53:00,           2025-06-25 21:53:00,      3.480000,      4.587000,          0.062000,                     0.480338,      0.977000
                1750910580,           2025-06-26 04:03:00,           2025-06-25 22:03:00,      3.480000,      4.597000,          0.062000,                     0.480463,      0.977000
                1750911180,           2025-06-26 04:13:00,           2025-06-25 22:13:00,      3.480000,      4.597000,          0.056000,                     0.433967,      0.977000
                1750911780,           2025-06-26 04:23:00,           2025-06-25 22:23:00,      3.480000,      4.587000,          0.060000,                     0.464843,      0.977000
                1750912380,           2025-06-26 04:33:00,           2025-06-25 22:33:00,      3.480000,      4.587000,          0.064000,                     0.495833,      0.977000
                1750912980,           2025-06-26 04:43:00,           2025-06-25 22:43:00,      3.480000,      4.597000,          0.065000,                     0.503711,      0.977000
                1750913580,           2025-06-26 04:53:00,           2025-06-25 22:53:00,      3.480000,      4.607000,          0.061000,                     0.472837,      0.977000
                1750914180,           2025-06-26 05:03:00,           2025-06-25 23:03:00,      3.480000,      4.637000,          0.062000,                     0.480963,      0.977000
                1750914780,           2025-06-26 05:13:00,           2025-06-25 23:13:00,      3.480000,      4.627000,          0.067000,                     0.519615,      0.977000
                1750915380,           2025-06-26 05:23:00,           2025-06-25 23:23:00,      3.480000,      4.607000,          0.066000,                     0.511594,      0.977000
                1750915980,           2025-06-26 05:33:00,           2025-06-25 23:33:00,      3.480000,      4.617000,          0.061000,                     0.472960,      0.976000
                1750916580,           2025-06-26 05:43:00,           2025-06-25 23:43:00,      3.480000,      4.577000,          0.058000,                     0.449231,      0.977000
