date,wind_speed_mean_ms,wind_speed_max_ms,gust_speed_max_ms,wind_from_mean_deg,wind_from_mean,wind_to_mean_deg,wind_to_mean,dominant_wind_from,dominant_wind_to
2025-09-08,1.5007505333333333,7.0095871999999995,11.690095999999999,277.36587313862384,W,97.36587313862384,E,NW,SE
2025-09-09,0.6239312444444445,1.9982688,7.0095871999999995,174.3980904129727,S,354.3980904129727,N,S,N
2025-09-10,0.8987366666666667,4.3407584,6.347968,173.98790933458872,S,353.9879093345887,N,S,N
2025-09-11,1.1757152,4.0099488,8.0198976,268.468844302028,W,88.468844302028,E,SW,NE
2025-09-12,0.9437821555555556,3.0085792000000002,8.3507072,175.6234563085768,S,355.6234563085768,N,SW,NE
2025-09-13,1.1600998444444446,3.0085792000000002,5.6818784,355.40399338953443,N,175.40399338953443,S,N,S
2025-09-14,0.5477171333333334,2.3380192,6.347968,291.6527638061428,W,111.65276380614279,E,NW,SE
2025-09-15,0.9672828,3.0085792000000002,10.348975999999999,217.63956394974844,SW,37.639563949748435,NE,S,N
2025-09-16,0.42658171111111115,3.0085792000000002,4.6805088,281.51794564252407,W,101.51794564252407,E,SW,NE
2025-09-17,0.4663496444444445,1.6719296000000001,4.0099488,235.0971606641348,SW,55.097160664134776,NE,S,N
2025-09-18,0.6562485111111112,2.6688288,6.347968,211.68609178107144,SW,31.686091781071468,NE,S,N
2025-09-19,0.5176350666666667,2.3380192,6.6787776,252.28711705100494,W,72.28711705100494,E,SW,NE
2025-09-20,0.7652455555555556,3.0085792000000002,7.0095871999999995,252.29994453130234,W,72.29994453130234,E,SW,NE
2025-09-21,0.5958049777777779,3.6701984000000003,8.6815168,200.20597897531178,S,20.20597897531178,N,SW,NE
2025-09-22,1.9322683111111112,4.6805088,8.0198976,342.71098420008013,N,162.71098420008013,S,N,S
2025-09-23,0.7216281111111111,2.3380192,5.342128,194.72800246529675,S,14.728002465296754,N,SW,NE
2025-09-24,0.7994254888888889,2.6688288,5.342128,236.50534887859976,SW,56.50534887859976,NE,S,N
2025-09-25,0.6396397333333333,2.6688288,6.347968,225.03530731076015,SW,45.03530731076012,NE,SW,NE
2025-09-26,1.213278977777778,4.0099488,7.3493376,251.9790150592087,W,71.97901505920868,E,SW,NE
2025-09-27,0.7397891111111111,2.3380192,6.347968,235.5245166929583,SW,55.52451669295829,NE,SW,NE
2025-09-28,0.5491141333333334,3.3393888,4.6805088,242.89388587709902,SW,62.893885877099024,NE,SW,NE
2025-09-29,0.6191193555555555,3.0085792000000002,4.6805088,280.30753876419925,W,100.30753876419925,E,N,S
2025-09-30,0.49354457777777777,3.6701984000000003,7.6801471999999995,198.14834318764142,S,18.148343187641444,N,SW,NE
2025-10-01,0.9517605777777778,2.3380192,9.0212672,195.128018681158,S,15.128018681157982,N,S,N
2025-10-02,0.6515918444444445,2.6688288,6.6787776,189.18598356733284,S,9.185983567332869,N,SW,NE
2025-10-03,0.4222975777777778,3.0085792000000002,7.6801471999999995,178.3835985516423,S,358.3835985516423,N,S,N
2025-10-04,1.0721509333333334,3.3393888,6.347968,262.900798024296,W,82.90079802429602,E,N,S
2025-10-05,1.5792929777777778,4.3407584,6.6787776,354.4902689160906,N,174.4902689160906,S,N,S
2025-10-06,1.1870153777777779,2.6688288,4.6805088,315.4837104524909,NW,135.48371045249093,SE,N,S
2025-10-07,0.8610797555555556,2.6688288,4.0099488,294.28830882380083,NW,114.28830882380083,SE,N,S
2025-10-08,0.6973513555555556,2.6688288,8.3507072,209.20395069582094,SW,29.203950695820936,NE,S,N
2025-10-09,0.6563106000000001,3.0085792000000002,8.0198976,198.00770300470015,S,18.007703004700147,N,S,N
2025-10-10,0.5197150444444445,2.6688288,6.347968,175.45657703747963,S,355.45657703747963,N,S,N
2025-10-11,0.6941537777777779,3.0085792000000002,7.6801471999999995,171.59023701430579,S,351.5902370143058,N,S,N
2025-10-12,1.6288399111111111,4.6805088,8.0198976,265.93536259720037,W,85.93536259720037,E,W,E
2025-10-13,0.8049514,1.9982688,5.342128,163.66933635192686,S,343.66933635192686,N,S,N
2025-10-14,0.514493368888889,2.3380192,6.0082176,143.49225731220633,SE,323.49225731220633,NW,SE,NW
